"Population and dwelling counts, for population centres, 2011 and 2006 censuses"
"Geographic code","Geographic name","Population centre size group","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, 2011","Population, 2006","2006 adjusted population flag","Population, % change","Total private dwellings, 2011","Private dwellings occupied by usual residents, 2011","Land area in square kilometres, 2011","Population density per square kilometre, 2011","National population rank, 2011","Provincial/territorial population rank, 2011"
"0044","Barry's Bay (Ont.)","Small",F,1262,1265,T,-0.2,584,533,2.5678,491.4713,845,245
"0045","Bathurst (N.B.)","Small",F,17887,18154,F,-1.5,8827,8027,69.9953,255.5457,122,4
"0046","Bay Roberts (N.L.)","Small",F,10638,10180,F,4.5,4494,4127,48.0399,221.4409,189,4
"0047","Beauceville (Que.)","Small",F,3700,3795,F,-2.5,1790,1691,6.6667,554.9972,409,91
"0050","Beaupré (Que.)","Small",F,5922,5560,T,6.5,2813,2561,15.0132,394.4529,303,64
"0051","Beausejour (Man.)","Small",F,3126,2823,F,10.7,1470,1402,5.3487,584.4411,455,17
"0052","Beaverlodge (Alta.)","Small",F,2365,2264,F,4.5,981,892,5.5774,424.0327,563,76
"0053","Beaverton (Ont.)","Small",F,2915,2970,F,-1.9,1386,1247,5.9661,488.5939,482,148
"0054","Gentilly (Que.)","Small",F,1997,2027,F,-1.5,1037,986,4.5371,440.1490,638,152
"0056","Bedford (Que.)","Small",F,2684,2612,F,2.8,1276,1210,4.1979,639.3673,509,114
"0058","Beeton (Ont.)","Small",F,3806,3887,F,-2.1,1339,1328,2.1312,1785.8483,399,127
"0061","Belleville (Ont.)","Medium",F,63985,64310,T,-0.5,29285,27811,79.2025,807.8659,50,20
"0063","Beloeil (Que.)","Medium",F,50796,46574,T,9.1,20647,20125,47.5772,1067.6543,56,12
"0066","Bernierville (Que.)","Small",F,1042,1101,F,-5.4,538,479,1.9817,525.8112,926,243
"0067","Berthierville (Que.)","Small",F,4501,4391,F,2.5,2159,2075,7.2535,620.5280,358,80
"0069","Berwick (N.S.)","Small",F,2504,2524,F,-0.8,1052,1027,6.8022,368.1162,538,22
"0071","Biggar (Sask.)","Small",F,2146,2003,F,7.1,1026,970,3.9704,540.4997,610,31
"0072","Bishop's Falls (N.L.)","Small",F,3262,3326,F,-1.9,1401,1347,7.8310,416.5496,445,16
"0074","Blairmore (Alta.)","Small",F,1723,1830,F,-5.8,956,781,3.8953,442.3279,697,91
"0075","Blenheim (Ont.)","Small",F,4563,4549,F,0.3,2005,1912,4.4506,1025.2550,351,112
"0076","Blind River (Ont.)","Small",F,2540,2659,F,-4.5,1295,1168,13.0447,194.7151,532,164
